                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.3165,                 4.4574,                 4.2597,                      0,                      0,                      0,                      0,                 6.2686,                 4.3037,                 4.1592,             0.00010002,             0.00010002,             0.00010002
                      2,                 6.3872,                 4.5052,                 4.2042,                      0,                      0,                      0,                      0,                 6.2645,                 4.2897,                 4.1531,             0.00021617,             0.00021617,             0.00021617
                      3,                  6.189,                 4.3475,                 4.1356,                      0,                      0,                      0,                      0,                 6.2558,                 4.2645,                 4.1386,             0.00033175,             0.00033175,             0.00033175
                      4,                   6.07,                 4.0763,                 4.0343,                      0,                      0,                      0,                      0,                 6.2401,                   4.23,                 4.1167,             0.00044675,             0.00044675,             0.00044675
                      5,                 5.9748,                 4.1079,                 3.9941,                      0,                      0,                      0,                      0,                 6.1993,                 4.1975,                 4.0661,             0.00056117,             0.00056117,             0.00056117
                      6,                 5.6589,                  3.683,                 3.7794,                      0,                      0,                      0,                      0,                 6.1933,                 4.2492,                 4.0595,             0.00067501,             0.00067501,             0.00067501
                      7,                 4.7982,                  3.321,                 3.4459,                      0,                      0,                      0,                      0,                 6.2311,                 4.0837,                 4.1115,             0.00078828,             0.00078828,             0.00078828
                      8,                 4.5124,                 3.1941,                 3.3466,                      0,                      0,                      0,                      0,                 6.3576,                 4.2302,                 4.3146,             0.00090097,             0.00090097,             0.00090097
                      9,                 3.9024,                 2.8372,                 3.1631,                      0,                      0,                      0,                      0,                 6.3725,                 4.1699,                  4.353,              0.0010131,              0.0010131,              0.0010131
                     10,                 3.7411,                 2.6804,                 2.9208,                      0,                      0,                      0,                      0,                 6.2558,                 3.9514,                 4.1614,              0.0011246,              0.0011246,              0.0011246
                     11,                 3.6521,                 2.7981,                  2.729,                      0,                      0,                      0,                      0,                 6.3692,                 4.2298,                 4.3707,              0.0012356,              0.0012356,              0.0012356
                     12,                 3.5014,                 2.6103,                 2.5911,                      0,                      0,                      0,                      0,                 6.5131,                  5.042,                 4.8168,              0.0013459,              0.0013459,              0.0013459
                     13,                 3.3463,                 2.4719,                 2.2856,                      0,                      0,                      0,                      0,                 6.5019,                 4.9418,                  4.748,              0.0014557,              0.0014557,              0.0014557
                     14,                   3.28,                 2.3598,                 2.2124,                      0,                      0,                      0,                      0,                 6.2965,                 4.2609,                 4.2516,               0.001565,               0.001565,               0.001565
                     15,                 3.1439,                 2.3468,                 2.2698,                0.01471,                  0.125,                0.01091,                0.00218,                 4.8732,                 3.6294,                 3.4679,              0.0016092,              0.0016092,              0.0016092
                     16,                  3.193,                  2.257,                 2.2603,                0.02247,                0.19643,                0.01432,                 0.0043,                 3.5951,                 3.3702,                 2.8349,              0.0016092,              0.0016092,              0.0016092
                     17,                 3.0511,                  2.201,                 2.0969,                0.02727,                0.32143,                0.02255,                0.00468,                 3.4252,                 3.1415,                 2.6263,              0.0016051,              0.0016051,              0.0016051
